2548,111
2548,111
2823,154
2337,102
2824,115
2507,110
2844,110
2954,110
3086,140
3053,160
2395,101
2395,101
2710,121
2765,121
3055,121
3230,182
3380,182
3505,182
1488,48
1874,70
1909,70
1876,68
1876,68
2128,102
1967,68
1989,68
1989,68
2191,102
2535,88
2811,145
1713,58
1819,76
1837,60
1940,76
1956,76
2010,76
2024,76
2236,86
2289,86
2304,86
2372,86
2465,101
2293,100
2337,78
1874,70
1909,70
2734,90
4066,176
4066,176
3950,262
1890,68
1900,68
1905,68
1945,68
1950,68
2380,101
2380,101
2385,101
2500,135
2385,84
2410,84
2385,84
2410,84
2443,64
2425,84
2670,120
2700,72
3515,123
3750,123
3495,123
3770,123
3740,155
3685,155
3900,184
3715,184
2910,175
1918,68
1944,68
2004,68
2145,102
2370,116
2328,88
2833,145
2921,145
2926,145
2365,88
2405,88
2403,116
2403,116
1889,69
2017,55
1918,69
1938,69
2024,69
1951,69
2028,69
1971,69
2037,69
2008,69
2324,97
2302,97
3095,152
3296,152
3060,152
3071,160
3139,200
3139,160
3020,97
3197,95
3230,97
3430,95
3075,95
3252,95
3285,95
3485,95
3075,97
3252,95
3130,142
1918,68
2128,102
1967,68
1989,68
2191,68
2535,88
2818,145
2778,143
2756,207
2756,207
2800,207
3366,288
2579,?
2460,?
2658,110
2695,110
2707,110
2758,110
2808,160
2847,160
2050,69
2120,73
2240,73
2145,82
2190,82
2340,94
2385,82
2510,111
2290,82
2455,94
2420,82
2650,111
1985,62
2040,62
2015,62
2280,62
2290,62
3110,62
2081,70
2109,70
2275,56
2275,56
2094,70
2122,70
2140,70
2169,70
2204,70
2265,112
2300,112
2540,116
2536,116
2551,116
2679,116
2714,116
2975,116
2326,92
2480,73
2414,92
2414,92
2458,92
2976,161
3016,161
3131,156
3151,156
2261,52
2209,85
2264,52
2212,85
2275,85
2319,68
2300,100
2254,90
2221,90
2661,110
2579,68
2563,88
2912,114
3034,114
2935,114
3042,114
3045,162
3157,162
2952,114
3049,160
3012,134
3217,106
3062,114
